"code","description","comment"
"42.13.20.000","Работы строительные по строительству мостов и тоннелей",NA
"42.2","Сооружения и строительные работы по строительству инженерных коммуникаций",NA
"42.21","Сооружения и строительные работы по строительству инженерных коммуникаций для жидкостей и газов",NA
"42.21.1","Коммуникации инженерные для жидкостей и газов",NA
"42.21.11","Трубопроводы магистральные для жидкостей","Эта группировка включает:- магистральные наземные и подводные трубопроводы для перекачки нефтепродуктов и газа;- магистральные наземные и подводные трубопроводы для перекачки воды или прочих продуктовЭта группировка не включает:- городские газо- или водораспределительные системы, состоящие из магистральных трубопроводов, см. 42.21.12"
"42.21.11.110","Трубопроводы магистральные наземные и подводные для перекачки нефтепродуктов и газа",NA
"42.21.11.120","Трубопроводы магистральные наземные и подводные для перекачки воды или прочих продуктов",NA
"42.21.12","Трубопроводы местные для жидкостей","Эта группировка включает:- местные трубопроводы для воды, сточных вод и прочих жидкостей и газов"
"42.21.12.000","Трубопроводы местные для жидкостей",NA
"42.21.13","Системы оросительные (каналы); водоводы и водопроводные конструкции; водоочистные станции, станции очистки сточных вод и насосные станции",NA
"42.21.13.000","Системы оросительные (каналы); водоводы и водопроводные конструкции; водоочистные станции, станции очистки сточных вод и насосные станции",NA
"42.21.2","Работы строительные по строительству коммунальных объектов для жидкостей","Эта группировка не включает:- работы по отрывке траншей, см. 43.12.12"
"42.21.21","Работы строительные по прокладке магистральных трубопроводов","Эта группировка включает:- строительные работы по прокладке магистральных наземных, подземных или подводных трубопроводов для нефти и газа, воды, сточных или ливневых вод, прочих жидкостей и газов"
"42.21.21.000","Работы строительные по прокладке магистральных трубопроводов",NA
"42.21.22","Работы строительные по прокладке местных трубопроводов","Эта группировка включает:- строительные работы для местных трубопроводов, включая вспомогательные работы, для воды или сточных вод, горячей воды, газа и пара, других жидкостей"
